Bigram,chi-sq
"('047', '9507')",1526781.0
"('857', '852')",1526781.0
"('akgün', 'erdal')",1526781.0
"('akademisyen', 'reporting')",1526781.0
"('ahzu', 'kabz')",1526781.0
"('ahit', 'vefa')",1526781.0
"('acizlik', 'örtbas')",1526781.0
"('absolute', 'excellence')",1526781.0
"('abdurrahman', 'karademir')",1526781.0
"('abdulmenaf', 'ekrem')",1526781.0
"('abdo', 'öner')",1526781.0
"('979', '1547')",1526781.0
"('808', '814')",1526781.0
"('1002', '3122')",1526781.0
"('7906', 'bahçelievler')",1526781.0
"('7900', '2266')",1526781.0
"('7510', '6179')",1526781.0
"('722', '724')",1526781.0
"('675', '3197')",1526781.0
"('66935', '1414')",1526781.0
"('635', '772')",1526781.0
"('624', '635')",1526781.0
"('6179', '8773')",1526781.0
"('611', '875')",1526781.0
"('alec', 'fenn')",1526781.0
"('aleminyum', 'folyo')",1526781.0
"('alpet', 'creditwest')",1526781.0
"('amaçlamak', 'kurumlar')",1526781.0
"('başvurup', '0541')",1526781.0
"('başmemurluğa', 'götürülmek')",1526781.0
"('bağlayabilecek', 'kilitleyebil')",1526781.0
"('bayramlaş', 'sosyalleş')",1526781.0
"('bavef', 'tavukuçluk')",1526781.0
"('bates', 'buckley')",1526781.0
"('basilli', 'amipli')",1526781.0
"('basil', 'mikrop')",1526781.0
"('baraka', 'sökülme')",1526781.0
"('bakmayacak', 'ilgilenmeyecek')",1526781.0
"('bahir', 'sezgin')",1526781.0
"('aytekin', 'aygül')",1526781.0
"('axel', 'springer')",1526781.0
"('available', 'languages')",1526781.0
"('atilla', 'çiloğlu')",1526781.0
"('assos', 'pera')",1526781.0
"('are', 'rules')",1526781.0
"('anki', 'psiklojik')",1526781.0
"('anak', 'key')",1526781.0
"('amipli', 'lohusa')",1526781.0
"('amaçsal', 'gai')",1526781.0
"('5x3cm', 'mor')",1526781.0
"('5x0', '5cm')",1526781.0
"('5977', 'biyogüvenlik')",1526781.0
"('2638', '3305')",1526781.0
"('2400', 'vario')",1526781.0
"('2383', 'vekaletnemenin')",1526781.0
"('2241', '2242')",1526781.0
"('2240', '2241')",1526781.0
"('2185', '2758')",1526781.0
"('2101011301662', '3901010211907')",1526781.0
"('2067', '1802')",1526781.0
"('1976', 'kilimci')",1526781.0
"('1608', 'umur')",1526781.0
"('1531', '7510')",1526781.0
"('1489', '2185')",1526781.0
"('1427', '1446')",1526781.0
"('1421', '1422')",1526781.0
"('1420', '1427')",1526781.0
"('1333', 'çocuksuz')",1526781.0
"('1185', '1196')",1526781.0
"('1170', '1171')",1526781.0
"('1148', '1185')",1526781.0
"('11118660', '0308844')",1526781.0
"('1073', '1071')",1526781.0
"('1065', '1066')",1526781.0
"('2402', '2375')",1526781.0
"('27875', '9997')",1526781.0
"('575', '860')",1526781.0
"('2964', '2965')",1526781.0
"('528', '658')",1526781.0
"('524', '537')",1526781.0
"('517', '611')",1526781.0
"('513', '544')",1526781.0
"('4mx3', '8m')",1526781.0
"('487', '524')",1526781.0
"('4785', '5658')",1526781.0
"('431', '483')",1526781.0
"('422', '431')",1526781.0
"('3x3cm', '4x2cm')",1526781.0
"('3772', '3773')",1526781.0
"('3771', '3772')",1526781.0
"('3770', '3771')",1526781.0
"('3769', '3770')",1526781.0
"('3765', '3766')",1526781.0
"('3761', '3762')",1526781.0
"('3658', '3662')",1526781.0
"('3460', '3659')",1526781.0
"('329', '330')",1526781.0
"('328', '329')",1526781.0
"('3197', '3754')",1526781.0
"('bedava', 'binme')",1526781.0
