Bigram,poisson_stirling
"('karar', 'veril')",48723.801010442716
"('bölge', 'adliye')",47935.233692371454
"('kanun', 'madde')",32336.626576565133
"('temyiz', 'itiraz')",29960.836847970106
"('adliye', 'mahkeme')",29670.241872213574
"('görüşülüp', 'düşünül')",20555.327268832614
"('sürüklenen', 'çocuk')",18708.124537778614
"('resmi', 'gazete')",18243.611247941557
"('temyiz', 'edilmek')",18218.9829652862
"('yürürlük', 'giren')",18196.987470058837
"('oybirliği', 'karar')",17317.124326634956
"('birlik', 'karar')",17243.848891573372
"('veril', 'hüküm')",16763.882269963156
"('5271', 'cmk')",16720.408737677808
"('tarih', 'birlik')",16430.999100674333
"('karar', 'verilme')",15860.260491031957
"('mahkeme', 'verilen')",15703.385318411301
"('cmk', 'madde')",15179.198993238755
"('istinaf', 'başvuru')",15059.76416946849
"('verilen', 'hüküm')",14439.490983539346
"('bozma', 'gerektir')",14244.764116225524
"('kovuşturma', 'evre')",14002.641542858131
"('tck', 'madde')",13585.426203764287
"('hukuk', 'daire')",12994.39284081822
"('adli', 'para')",12699.318033575282
"('yerel', 'mahkeme')",12648.34027496237
"('yasa', 'madde')",12632.500232986817
"('incelenerek', 'düşünül')",12411.989763798287
"('ceza', 'mahkemesi')",12136.182754381001
"('tetkik', 'hakim')",11907.291327437571
"('dosya', 'incelen')",11665.483657719566
"('evre', 'geçil')",11664.369798451175
"('edilmek', 'başvuru')",11494.338369748011
"('hapis', 'ceza')",11417.241494041979
"('suç', 'sürüklenen')",11416.614772230761
"('para', 'ceza')",11137.068465999972
"('görülmüş', 'olduk')",10780.305907309676
"('itibar', 'görülmüş')",10462.258582621653
"('uygulanma', 'gereken')",10123.683976520208
"('tarih', 'oybirliği')",10084.778707095385
"('vicdani', 'oluştuk')",9980.086327781553
"('vekil', 'temyiz')",9732.766414560341
"('süreç', 'tutanak')",9532.304614407425
"('yürürlük', 'bulunan')",9453.526695723656
"('tutanak', 'belge')",9394.362392513322
"('gazete', 'yürürlük')",9383.64095883457
"('vekil', 'taraf')",9344.904478844577
"('anayasa', 'mahkemesi')",9271.817103631578
"('düzenlenen', 'rapor')",9177.316701226682
"('00', 'tl')",9116.616822677792
"('kanun', 'uygun')",8934.717849507695
"('duruşma', 'süreç')",8841.359186096284
"('5237', 'tck')",8789.335512113877
"('oluştuk', 'duruşma')",8695.362035553228
"('iddia', 'savunma')",8529.218831706463
"('hüküm', 'temyiz')",8520.182548189945
"('hüküm', 'mahkumiyet')",8498.159065867061
"('dosya', 'incelenerek')",8494.351967971757
"('geçil', 'vicdani')",8485.8277183495
"('suç', 'tarih')",8478.830134642958
"('hüküm', 'onanma')",8388.096544445169
"('esas', 'redd')",8349.226388390953
"('süre', 'iç')",8176.902755329811
"('1412', 'cmuk')",8145.140988155788
"('5320', 'kanun')",8040.641157116299
"('başvuru', 'süre')",8030.971717130598
"('5607', 'yasa')",7847.994051652848
"('tebliğnameye', 'uygun')",7802.854087838413
"('dava', 'kabul')",7740.1583885207765
"('geçici', 'madde')",7607.045987485069
"('istek', 'redd')",7602.638999345663
"('rapor', 'dinlendik')",7582.919060721916
"('taraf', 'görülen')",7494.100725732056
"('eklenen', 'geçici')",7473.085131162932
"('şeklindeki', 'düzenleme')",7399.119204085472
"('hakim', 'taraf')",7327.848610926998
"('vekalet', 'ücret')",7240.753676283994
"('gerekçe', 'içerik')",7232.864563577151
"('7188', 'kanun')",7228.4662451985105
"('itiraz', 'redd')",7188.25204841391
"('itiraz', 'ret')",7182.5453760318715
"('temyiz', 'istek')",6991.809620267629
"('esas', 'geçil')",6983.609063304623
"('dosya', 'kapsam')",6981.997126608058
"('itiraz', 'itibar')",6816.42007795247
"('toplanan', 'delil')",6810.346336584282
"('görülmeyen', 'temyiz')",6789.9656590692075
"('incelen', 'konuşulup')",6769.0720595230205
"('esas', 'karar')",6755.821859367016
"('görülen', 'dava')",6752.108689682645
"('konuşulup', 'düşünül')",6611.34923489092
"('taraf', 'düzenlenen')",6592.723777389951
"('suç', 'kurulan')",6318.984788833938
"('belge', 'gerekçe')",6190.073362198098
"('karar', 'verildik')",6145.822095027627
"('içerik', 'inceleme')",6063.542217111884
"('bilirkişi', 'rapor')",6009.521336991284
"('somut', 'olay')",5983.45392594677
"('bulunan', '1412')",5910.2462680987455
"('vicdani', 'kan')",5903.745284837048
