Bigram,t
"('karar', 'veril')",111.4580206534559
"('kanun', 'madde')",94.93863404348559
"('bölge', 'adliye')",84.14096797805611
"('temyiz', 'itiraz')",83.00793685103812
"('adliye', 'mahkeme')",77.50357476482151
"('veril', 'hüküm')",71.00015977981397
"('birlik', 'karar')",66.79268665408276
"('oybirliği', 'karar')",65.42463719078658
"('karar', 'verilme')",65.15057690138852
"('verilen', 'hüküm')",64.96182927169957
"('mahkeme', 'verilen')",63.44724139593696
"('temyiz', 'edilmek')",63.35764693036999
"('hüküm', 'temyiz')",61.57470437295596
"('cmk', 'madde')",60.214585662286744
"('tarih', 'birlik')",59.45466897787257
"('yasa', 'madde')",58.93751156595461
"('tck', 'madde')",57.664597850687265
"('vekil', 'temyiz')",55.951991805646536
"('görüşülüp', 'düşünül')",55.10597175750328
"('suç', 'tarih')",53.44631170333375
"('ceza', 'mahkemesi')",51.37594986587787
"('5271', 'cmk')",50.95248738015772
"('mahkeme', 'karar')",50.80125381172846
"('esas', 'karar')",50.67682195811341
"('yürürlük', 'giren')",50.31802326109481
"('yerel', 'mahkeme')",50.047052675612164
"('hüküm', 'mahkumiyet')",49.9494660173156
"('vekil', 'taraf')",49.855752476870805
"('hukuk', 'daire')",49.82899236717264
"('istinaf', 'başvuru')",48.74990682263612
"('kanun', 'uygun')",48.42529572883572
"('sürüklenen', 'çocuk')",48.31907858424136
"('hüküm', 'onanma')",48.30733996747158
"('tarih', 'oybirliği')",48.02963110125921
"('resmi', 'gazete')",47.55380701540689
"('bozma', 'gerektir')",47.2778609276703
"('dosya', 'incelen')",47.153438960259805
"('suç', 'sürüklenen')",46.57174957667947
"('para', 'ceza')",46.435641656551255
"('hapis', 'ceza')",46.223677268802405
"('dava', 'kabul')",46.056665621918995
"('esas', 'redd')",44.30014338321363
"('incelenerek', 'düşünül')",44.17701830554921
"('edilmek', 'başvuru')",44.03726817158519
"('görülmüş', 'olduk')",43.05710121442371
"('temyiz', 'istek')",42.689538388616
"('iptal', 'karar')",42.397574068030934
"('verilen', 'karar')",42.36042357500235
"('geçici', 'madde')",42.330458634347394
"('kovuşturma', 'evre')",42.15735853965014
"('dosya', 'incelenerek')",41.77189006980324
"('karar', 'verildik')",41.69804321190177
"('adli', 'para')",41.48817000067275
"('temyiz', 'istem')",41.442955697400414
"('5320', 'kanun')",41.27879616954972
"('dosya', 'kapsam')",40.97524132783109
"('başvuru', 'süre')",40.86248194708486
"('itiraz', 'redd')",40.83024573553946
"('yürürlük', 'bulunan')",39.6670277367874
"('anayasa', 'mahkemesi')",39.60528270204586
"('temyiz', 'talep')",39.467577420496966
"('görülmeyen', 'temyiz')",39.25847387194099
"('tetkik', 'hakim')",39.02638912190961
"('evre', 'geçil')",38.77937721718384
"('ceza', 'daire')",38.44162568060063
"('süre', 'iç')",38.43810911870367
"('mahkumiyet', 'hüküm')",38.4225111607792
"('5237', 'tck')",38.420099351125785
"('hakim', 'taraf')",38.36388254587316
"('itiraz', 'ret')",38.10678340615028
"('istek', 'redd')",38.07299095228924
"('tutanak', 'belge')",38.05065947176344
"('dava', 'konu')",37.99858502167251
"('karar', 'nitelik')",37.9348189490707
"('uygulanma', 'gereken')",37.915658042051035
"('gazete', 'yürürlük')",37.615224163526086
"('müdafii', 'temyiz')",37.61153175606638
"('tarih', 'yürürlük')",37.58672422562446
"('iş', 'esas')",37.38649212217643
"('düzenlenen', 'rapor')",37.3689355296074
"('madde', 'değişik')",37.28319237342204
"('onanma', 'tarih')",37.2385238614995
"('1412', 'madde')",37.221432339400074
"('itibar', 'görülmüş')",37.103540410243056
"('taraf', 'düzenlenen')",37.04123462441793
"('7188', 'kanun')",36.977185867635235
"('taraf', 'görülen')",36.85064556482019
"('esas', 'geçil')",36.67450125468151
"('görülen', 'dava')",36.55820552479213
"('suç', 'kurulan')",36.52993610844017
"('00', 'tl')",36.324686206226175
"('redd', 'iş')",36.11153626701456
"('tebliğnameye', 'uygun')",35.761394427361125
"('gerekçe', 'içerik')",35.649173300830235
"('itiraz', 'itibar')",35.591956952449095
"('nitelik', 'suç')",35.47268886566253
"('temyiz', 'dilekçe')",35.40656606214979
"('madde', 'uygulanma')",35.40183957082932
"('5607', 'yasa')",35.391220736137775
"('muhakeme', 'kanun')",35.388191725802294
