Trigram,chi-sq
"('2400', 'vario', 'hotmelt')",2331060167623.5835
"('kabar', 'dökül', 'korozyon')",2331060167623.5835
"('kökenli', 'silikat', 'gözenekli')",2331060167623.5835
"('lami', 'mrbl', '2400')",2331060167623.5835
"('louis', 'vuittion', 'malletier')",2331060167623.5835
"('macrorecipes', 'macrostyle', 'mcfinefood')",2331060167623.5835
"('macrostyle', 'mcfinefood', 'by')",2331060167623.5835
"('mc', 'vicar', 'colombani')",2331060167623.5835
"('mrbl', '2400', 'vario')",2331060167623.5835
"('paranazal', 'sinüs', 'havalanma')",2331060167623.5835
"('sağlayamayan', 'acizlik', 'örtbas')",2331060167623.5835
"('sebiala', 'sebil', 'sebinehir')",2331060167623.5835
"('seda', 'türüdü', 'aytekin')",2331060167623.5835
"('teixeria', 'cortro', 'peri')",2331060167623.5835
"('tekrarlayan', 'döngü', 'halinde')",2331060167623.5835
"('türüdü', 'aytekin', 'aygül')",2331060167623.5835
"('vena', 'kav', 'inferiorda')",2331060167623.5835
"('volkanik', 'kökenli', 'silikat')",2331060167623.5835
"('çekum', 'ileumda', 'perforasyon')",2331060167623.5835
"('şakir', 'kerem', 'mine')",2331060167623.5835
"('alpet', 'creditwest', 'assos')",2331060167623.5835
"('korkuluklardaki', 'sunni', 'çim')",2331060167623.5835
"('rezistans', 'sürgülü', 'nemlendir')",2331060167623.5835
"('i̇ncelemeğ', 'paranazal', 'sinüs')",2331060167623.5835
"('düzenbislik', 'noktasal', 'hiperekojen')",2331060167623.5835
"('harris', 'boyle', 'bates')",2331060167623.5835
"('bahir', 'sezgin', 'servet')",2331060167623.5835
"('boyle', 'bates', 'buckley')",2331060167623.5835
"('bulbus', 'okuli', 'bilateral')",2331060167623.5835
"('centro', 'europa', 'di')",2331060167623.5835
"('creditwest', 'assos', 'pera')",2331060167623.5835
"('ct', 'bulbus', 'okuli')",2331060167623.5835
"('dokunup', 'penis', 'sürterek')",2331060167623.5835
"('europa', 'di', 'stefano')",2331060167623.5835
"('eyrenci', 'taşkent', 'ulucan')",2331060167623.5835
"('atilla', 'çiloğlu', 'sinap')",2331060167623.5835
"('gs265', 'gs360', 'gs410')",2331060167623.5835
"('gs360', 'gs410', 'gs411')",2331060167623.5835
"('gs410', 'gs411', 'gs412')",2331060167623.5835
"('gs411', 'gs412', 'gs460')",2331060167623.5835
"('gs412', 'gs460', 'gs461')",2331060167623.5835
"('gs460', 'gs461', 'gs469')",2331060167623.5835
"('gs461', 'gs469', 'gs470')",2331060167623.5835
"('israel', 'credit', 'cards')",1165530107586.3489
"('newholland2', 'newhollandce', 'newhollandismakineleri')",1165530107586.3489
"('mukoza', 'sfinkter', 'tonusunun')",1165530107586.3489
"('biji', 'serok', 'apo')",1165530107586.3489
"('gözle', 'judicata', 'türkçesi')",1165530107586.3489
"('construction', 'newholland2', 'newhollandce')",1165530107586.3489
"('ozan', 'şakir', 'kerem')",1165530097396.3958
"('mercedes', 'e250', 'cgi̇')",1165530097396.3958
"('milliyetçilik', 'türkçülük', 'sayan')",1165530097396.3958
"('more', 'macrocenter', 'macronews')",1165530097396.3958
"('muzafer', 'yel', 'mecid')",1165530097396.3958
"('okşayan', 'beğenilen', 'tekinalp')",1165530097396.3958
"('or', 'pu', 'çocuğu')",1165530097396.3958
"('pnömotoraksa', 'çekum', 'ileumda')",1165530097396.3958
"('ravenna', 'lima', 'mil')",1165530097396.3958
"('recai', 'seçkin', 'armağan')",1165530097396.3958
"('workover', 'log', 'wireli')",1165530097396.3958
"('çikolata', 'kek', 'kraker')",1165530097396.3958
"('lokma', 'abdulmenaf', 'ekrem')",1165530097396.3958
"('çökme', 'sakrum', 'pubis')",1165530097396.3958
"('menderes', 'gaziemir', 'migros')",1165530097396.3958
"('aytekin', 'aygül', 'özmen')",1165530097396.3958
"('log', 'wireli', 'çimentolama')",1165530097396.3958
"('food', 'night', 'out')",1165530097396.3958
"('kürt', 'çizgisi', 'kobane')",1165530097396.3958
"('8x0', '3cm', '2x3cm')",1165530097396.3958
"('döşenme', 'lata', 'kapla')",1165530097396.3958
"('ellis', 'sayan', 'ülkücü')",1165530097396.3958
"('ezeli', 'ebedi', 'düşman')",1165530097396.3958
"('depozitörünü', 'depozitörün', 'elek')",1165530097396.3958
"('gereksinme', 'işler', 'mollamahmutoğlu')",1165530097396.3958
"('gökçek', 'karaca', 'kocabaş')",1165530097396.3958
"('indirmek', 'mesajlaşmak', 'haberleşmek')",1165530097396.3958
"('keser', 'terazi', 'önlük')",1165530097396.3958
"('kobane', 'kürt', 'çizgisi')",1165530097396.3958
"('korpu', 'çökme', 'sakrum')",1165530097396.3958
"('kolera', 'veba', 'bübon')",777020073319.1554
"('tathir', 'tephir', 'tutulmadan')",777020073319.1554
"('tamim', 'eyledik', 'tetkikat')",777020073319.1554
"('sincabii', 'tifli', 'cüzam')",777020073319.1554
"('reporting', 'phase', 'two')",777020073319.1554
"('nuhai', 'kuddamii', 'sincabii')",777020073319.1554
"('müteşebbis', 'teş', 'bşk')",777020073319.1554
"('masks', 'what', 'are')",777020073319.1554
"('languages', 'english', 'may')",777020073319.1554
"('kuddamii', 'sincabii', 'tifli')",777020073319.1554
"('basilli', 'amipli', 'lohusa')",777020073319.1554
"('karahumma', 'hummayi', 'tiroit')",777020073319.1554
"('fred', 'perry', 'holdings')",777020073319.1554
"('fotoplan', 'fotometrik', 'fotogrametrik')",777020073319.1554
"('fenn', 'cgtneuropahttps', 'newseu')",777020073319.1554
"('dizanteri', 'basilli', 'amipli')",777020073319.1554
