Trigram,likelihood_ratio
"('bölge', 'adliye', 'mahkeme')",136955.69020355822
"('oybirliği', 'karar', 'veril')",128271.34356016043
"('birlik', 'karar', 'veril')",126478.77026731036
"('karar', 'veril', 'hüküm')",107846.87833165588
"('bölge', 'adliye', 'mahkemesi')",94031.88949323834
"('esas', 'karar', 'veril')",94028.9280887841
"('mahkeme', 'karar', 'veril')",92318.51949748035
"('örnek', 'bölge', 'adliye')",92080.31633611009
"('olunan', 'bölge', 'adliye')",91553.54112771827
"('iptal', 'karar', 'veril')",91464.50870641324
"('kural', 'bölge', 'adliye')",91339.35635716142
"('ankara', 'bölge', 'adliye')",91312.5410107259
"('gaziantep', 'bölge', 'adliye')",91078.37641981608
"('istanbul', 'bölge', 'adliye')",90941.05050194716
"('veril', 'bölge', 'adliye')",90804.77950942382
"('veren', 'bölge', 'adliye')",90603.31847352399
"('izmir', 'bölge', 'adliye')",90413.01207314352
"('üzeri', 'bölge', 'adliye')",90402.70520420471
"('samsun', 'bölge', 'adliye')",90385.32197779533
"('numara', 'bölge', 'adliye')",90376.761897678
"('redd', 'bölge', 'adliye')",90186.17428780072
"('adana', 'bölge', 'adliye')",90143.20079190814
"('özet', 'bölge', 'adliye')",90122.69975742527
"('antalya', 'bölge', 'adliye')",90103.81869462659
"('bulun', 'bölge', 'adliye')",90092.07755967084
"('reddeden', 'bölge', 'adliye')",90021.12858777145
"('muhakeme', 'bölge', 'adliye')",89886.23698225082
"('uygun', 'bölge', 'adliye')",89848.52640542899
"('konya', 'bölge', 'adliye')",89713.33190064179
"('sakarya', 'bölge', 'adliye')",89679.84547804293
"('erzurum', 'bölge', 'adliye')",89637.71086352151
"('başvuru', 'bölge', 'adliye')",89602.72098026534
"('bursa', 'bölge', 'adliye')",89552.85760527909
"('temyiz', 'bölge', 'adliye')",89523.49175691318
"('hüküm', 'bölge', 'adliye')",89417.53968739585
"('başvurul', 'bölge', 'adliye')",89415.02169762923
"('tarih', 'bölge', 'adliye')",89410.1788708671
"('suç', 'bölge', 'adliye')",89404.95541468039
"('kanun', 'bölge', 'adliye')",89399.21077374028
"('bölge', 'adliye', 'dava')",89398.91514048548
"('bölge', 'adliye', 'ceza')",89388.42892887555
"('bölge', 'adliye', 'taraf')",89376.4554342995
"('bulunul', 'bölge', 'adliye')",89356.87234450561
"('taraf', 'bölge', 'adliye')",89339.53737967584
"('ceza', 'bölge', 'adliye')",89328.3907417906
"('başvur', 'bölge', 'adliye')",89307.33197203993
"('esas', 'bölge', 'adliye')",89303.39005590469
"('bulunduk', 'bölge', 'adliye')",89294.62346332123
"('dava', 'bölge', 'adliye')",89291.9765303496
"('kesilecek', 'bölge', 'adliye')",89291.4215872807
"('hukuk', 'bölge', 'adliye')",89289.28868547654
"('nisbet', 'bölge', 'adliye')",89284.95224388693
"('bölge', 'adliye', 'hukuk')",89284.6159750309
"('talep', 'bölge', 'adliye')",89283.61072625656
"('bozma', 'bölge', 'adliye')",89283.59230705541
"('geçmedik', 'bölge', 'adliye')",89279.11015579128
"('bölge', 'bölge', 'adliye')",89276.37274018615
"('delil', 'bölge', 'adliye')",89276.28666634217
"('daire', 'bölge', 'adliye')",89276.04881567393
"('iliş', 'bölge', 'adliye')",89274.62553331298
"('bozulma', 'bölge', 'adliye')",89274.10199896268
"('türlü', 'bölge', 'adliye')",89273.8462350644
"('mahkemesi', 'bölge', 'adliye')",89273.64327503066
"('verilen', 'bölge', 'adliye')",89273.34519834322
"('mahkeme', 'bölge', 'adliye')",89272.52723484946
"('düşünül', 'bölge', 'adliye')",89269.73955445466
"('örneğininde', 'bölge', 'adliye')",89269.65971911646
"('kayseri', 'bölge', 'adliye')",89268.1693057084
"('istinaf', 'bölge', 'adliye')",89267.60063750786
"('edil', 'bölge', 'adliye')",89265.76424653475
"('istek', 'bölge', 'adliye')",89264.39589427633
"('trabzon', 'bölge', 'adliye')",89263.55555100004
"('kapsam', 'bölge', 'adliye')",89262.92840102916
"('onanma', 'bölge', 'adliye')",89262.06028862821
"('konu', 'bölge', 'adliye')",89260.604589096
"('gerektik', 'bölge', 'adliye')",89260.22833048757
"('içerik', 'bölge', 'adliye')",89259.29361519503
"('edilmek', 'bölge', 'adliye')",89258.30765620754
"('iç', 'bölge', 'adliye')",89258.27166621637
"('değiştirmeyen', 'bölge', 'adliye')",89258.16195435644
"('değerlendirme', 'bölge', 'adliye')",89258.0804271234
"('ad', 'bölge', 'adliye')",89257.69922599784
"('304', 'bölge', 'adliye')",89257.18854232963
"('olunacak', 'bölge', 'adliye')",89256.88372537162
"('olunca', 'bölge', 'adliye')",89256.77800242552
"('302', 'bölge', 'adliye')",89256.30896102834
"('karar', 'bölge', 'adliye')",89255.71192950384
"('olma', 'bölge', 'adliye')",89254.81682243638
"('ilgi', 'bölge', 'adliye')",89254.28143892532
"('şekil', 'bölge', 'adliye')",89253.78969140993
"('cd', 'bölge', 'adliye')",89253.56722387939
"('düzenleme', 'bölge', 'adliye')",89253.25166564136
"('işlem', 'bölge', 'adliye')",89252.95669064597
"('istenen', 'bölge', 'adliye')",89252.86439330541
"('alacak', 'bölge', 'adliye')",89252.69650630151
"('giren', 'bölge', 'adliye')",89252.39252970074
"('kurul', 'bölge', 'adliye')",89252.17697852688
"('yön', 'bölge', 'adliye')",89252.13937169155
"('nitelik', 'bölge', 'adliye')",89252.09735360954
"('incelenme', 'bölge', 'adliye')",89252.00379376447
