Words,Frequency
"('bölge', 'adliye', 'mahkemesi')",4334
"('oy', 'birliğiyle', 'karar')",3755
"('tarihinde', 'oy', 'birliğiyle')",2710
"('verilen', 'hüküm', 'temyiz')",2256
"('bu', 'itibarla', 'yerinde')",1976
"('birliğiyle', 'karar', 'hüküm')",1785
"('usul', 've', 'kanuna')",1771
"('ve', 'kanuna', 'uygun')",1745
"('oybirliği', 'ile', 'karar')",1629
"('suç', 'tarihine', 'göre')",1626
"('tarihine', 'göre', 'dosya')",1577
"('mahkemece', 'verilen', 'hüküm')",1555
"('karar', 'hüküm', 'mahkumiyet')",1514
"('yerel', 'mahkemece', 'verilen')",1466
"('gününde', 'oybirliğiyle', 'karar')",1403
"('suça', 'sürüklenen', 'çocuk')",1395
"('reddi', 'nedenleri', 'işin')",1385
"('itibarla', 'yerinde', 'görülmüş')",1383
"('tarihinde', 'oybirliğiyle', 'karar')",1297
"('temyiz', 'bu', 'itibarla')",1295
"('ve', 'gerekçe', 'içeriğine')",1271
"('usul', 've', 'yasaya')",1252
"('adliye', 'mahkemesi', 'hukuk')",1251
"('verilen', 'hükümler', 'temyiz')",1233
"('dosya', 'incelenerek', 'gereği')",1226
"('belgeler', 've', 'gerekçe')",1223
"('adliye', 'mahkemesi', 'ceza')",1216
"('resmi', 'yürürlüğe', 'giren')",1210
"('vicdani', 'oluştuğu', 'duruşma')",1194
"('oluştuğu', 'duruşma', 'sürecini')",1194
"('gerekçe', 'içeriğine', 'göre')",1190
"('temyiz', 'isteğinin', 'reddi')",1170
"('hüküm', 'temyiz', 'başvurunun')",1166
"('nedenleri', 'işin', 'vicdani')",1156
"('işin', 'vicdani', 'oluştuğu')",1154
"('isteğinin', 'reddi', 'nedenleri')",1149
"('mahalli', 'mahkemece', 'verilen')",1135
"('oy', 'birliği', 'ile')",1117
"('birliği', 'ile', 'karar')",1115
"('tarihinde', 'oybirliği', 'ile')",1115
"('duruşma', 'sürecini', 'belgeler')",1096
"('sürecini', 'belgeler', 've')",1091
"('tetkik', 'hakimi', 'düzenlenen')",1073
"('kanuna', 'uygun', 'olan')",1069
"('hakimi', 'düzenlenen', 'rapor')",1034
"('reddiyle', 'usul', 've')",1032
"('niteliği', 'ile', 'suç')",1023
"('ile', 'suç', 'tarihine')",1022
"('düzenlenen', 'rapor', 'dinlendikten')",1020
"('dava', 'için', 'tetkik')",1017
"('mahkemece', 'verilen', 'hükümler')",1004
"('gününde', 'oy', 'birliğiyle')",1003
"('bölge', 'adliye', 'mahkemesince')",997
"('uygun', 'olan', 'hükmün')",996
"('temyiz', 'başvurunun', 'süresi')",990
"('tarihinde', 'oy', 'birliği')",984
"('için', 'tetkik', 'hakimi')",970
"('karar', 'taraflar', 'görülen')",960
"('ve', 'niteliği', 'ile')",957
"('oybirliğiyle', 'karar', 'hüküm')",953
"('süresi', 've', 'niteliği')",950
"('başvurunun', 'süresi', 've')",949
"('oybirliğiyle', 'karar', 'taraflar')",906
"('yürürlükte', 'bulunan', '1412')",905
"('5320', 'maddesi', 'gereğince')",890
"('taraflar', 'görülen', 'dava')",883
"('görülen', 'dava', 'sonucunda')",883
"('dava', 'sonucunda', 'verilen')",883
"('temyiz', 'reddiyle', 'usul')",865
"('ve', 'yasaya', 'uygun')",865
"('dosya', 'gereği', 'konuşulup')",843
"('dosya', 'temyiz', 'isteğinin')",832
"('tarihinde', 'yürürlüğe', 'giren')",800
"('7242', 'maddesi', 'ile')",783
"('bulunan', '1412', 'maddesi')",782
"('ve', 'suç', 'tarihine')",767
"('mahkumiyet', 'mahalli', 'mahkemece')",767
"('hüküm', 'temyiz', 'edilmekle')",767
"('tarihli', 'resmi', 'yürürlüğe')",761
"('mahkumiyet', 'yerel', 'mahkemece')",760
"('delillerin', 'takdirinde', 'bir')",750
"('yerinde', 'görülmüş', 'olduğundan')",737
"('kanunun', 'maddesi', 'ile')",728
"('yerinde', 'görülmeyen', 'temyiz')",728
"('sonra', 'dosya', 'gereği')",727
"('temyiz', 'edilmekle', 'dosya')",727
"('maddesi', 'ile', '5607')",724
"('5607', 'maddesine', 'eklenen')",716
"('temyiz', 'reddi', 'ile')",705
"('göre', 'dosya', 'temyiz')",703
"('rapor', 'dinlendikten', 'sonra')",696
"('dinlendikten', 'sonra', 'dosya')",696
"('maddesi', 'ile', 'değişik')",693
"('istinaf', 'başvurusunun', 'esastan')",690
"('yerinde', 'görülmüş', 'hükmün')",686
"('ile', 'karar', 'hüküm')",685
"('adliye', 'mahkemesince', 'verilen')",683
"('birliğiyle', 'karar', 'hükümler')",671
"('karar', 'hükümler', 'mahkumiyet')",660
"('verilen', 'temyizen', 'incelenmesi')",647
