Words,Frequency
"('bölge', 'adliye', 'mahkeme')",6220
"('karar', 'veril', 'hüküm')",5735
"('birlik', 'karar', 'veril')",4863
"('oybirliği', 'karar', 'veril')",4612
"('tarih', 'birlik', 'karar')",3704
"('verilen', 'hüküm', 'temyiz')",3550
"('hüküm', 'temyiz', 'edilmek')",3447
"('mahkeme', 'verilen', 'hüküm')",3245
"('veril', 'hüküm', 'mahkumiyet')",2496
"('tarih', 'oybirliği', 'karar')",2445
"('suç', 'sürüklenen', 'çocuk')",2221
"('temyiz', 'edilmek', 'başvuru')",1974
"('dosya', 'incelenerek', 'düşünül')",1778
"('5271', 'cmk', 'madde')",1770
"('adli', 'para', 'ceza')",1723
"('temyiz', 'itiraz', 'redd')",1722
"('başvuru', 'süre', 'karar')",1692
"('süre', 'karar', 'nitelik')",1691
"('suç', 'tarih', 'dosya')",1632
"('adliye', 'mahkeme', 'karar')",1609
"('5320', 'kanun', 'madde')",1561
"('kovuşturma', 'evre', 'geçil')",1511
"('karar', 'veril', 'taraf')",1499
"('yerel', 'mahkeme', 'verilen')",1470
"('tetkik', 'hakim', 'taraf')",1438
"('görülmüş', 'olduk', 'hüküm')",1436
"('resmi', 'gazete', 'yürürlük')",1428
"('temyiz', 'itiraz', 'ret')",1426
"('gazete', 'yürürlük', 'giren')",1408
"('iş', 'esas', 'geçil')",1387
"('redd', 'iş', 'esas')",1386
"('itibar', 'görülmüş', 'olduk')",1370
"('taraf', 'görülen', 'dava')",1367
"('kanun', 'madde', 'değişik')",1338
"('taraf', 'düzenlenen', 'rapor')",1338
"('mahkeme', 'hukuk', 'daire')",1336
"('edilmek', 'başvuru', 'süre')",1328
"('nitelik', 'suç', 'tarih')",1327
"('karar', 'nitelik', 'suç')",1323
"('hakim', 'taraf', 'düzenlenen')",1322
"('adliye', 'mahkeme', 'hukuk')",1310
"('temyiz', 'istek', 'redd')",1302
"('temyiz', 'itiraz', 'itibar')",1296
"('7188', 'kanun', 'madde')",1258
"('tutanak', 'belge', 'gerekçe')",1251
"('belge', 'gerekçe', 'içerik')",1251
"('mahkeme', 'ceza', 'daire')",1239
"('adliye', 'mahkeme', 'ceza')",1236
"('süreç', 'tutanak', 'belge')",1210
"('duruşma', 'süreç', 'tutanak')",1209
"('oluştuk', 'duruşma', 'süreç')",1196
"('vicdani', 'oluştuk', 'duruşma')",1194
"('görülmeyen', 'temyiz', 'itiraz')",1187
"('temyiz', 'edilmek', 'dosya')",1181
"('mahalli', 'mahkeme', 'verilen')",1173
"('asliye', 'ceza', 'mahkemesi')",1165
"('esas', 'geçil', 'vicdani')",1160
"('geçil', 'vicdani', 'oluştuk')",1156
"('istek', 'redd', 'iş')",1149
"('gerekçe', 'içerik', 'inceleme')",1143
"('edilmek', 'dosya', 'incelenerek')",1099
"('vekil', 'temyiz', 'itiraz')",1088
"('5237', 'tck', 'madde')",1069
"('tarihli', 'esas', 'karar')",1064
"('tarih', 'esas', 'karar')",1058
"('onanma', 'tarih', 'birlik')",1040
"('düzenlenen', 'rapor', 'dinlendik')",1020
"('rapor', 'dinlendik', 'dosya')",1020
"('tarih', 'yürürlük', 'giren')",1020
"('dosya', 'tetkik', 'hakim')",1018
"('dava', 'dosya', 'tetkik')",1017
"('eklenen', 'geçici', 'madde')",1007
"('madde', 'yürürlük', 'bulunan')",988
"('yürürlük', 'bulunan', '1412')",980
"('1412', 'cmuk', 'madde')",972
"('tarihli', 'resmi', 'gazete')",972
"('itiraz', 'itibar', 'görülmüş')",967
"('tarih', 'dosya', 'görüşül')",940
"('hüküm', 'onanma', 'tarih')",918
"('5320', 'yasa', 'madde')",911
"('bölge', 'adliye', 'mahkemesi')",904
"('görülen', 'dava', 'sonuç')",895
"('istinaf', 'başvuru', 'esas')",894
"('dava', 'sonuç', 'verilen')",888
"('bozma', 'gerektir', 'temyiz')",870
"('ret', 'kanun', 'uygun')",851
"('dosya', 'görüşül', 'temyiz')",847
"('incelen', 'konuşulup', 'düşünül')",844
"('dosya', 'incelen', 'konuşulup')",843
"('esas', 'karar', 'karar')",836
"('gönderilme', 'tarih', 'birlik')",835
"('kanun', 'uygun', 'hüküm')",835
"('görüşül', 'temyiz', 'istek')",833
"('suç', 'kurulan', 'hüküm')",831
"('temyiz', 'edilme', 'üzeri')",828
"('5607', 'yasa', 'madde')",823
"('incelenme', 'vekil', 'taraf')",809
"('vekil', 'taraf', 'temyiz')",804
"('mahkumiyet', 'mahalli', 'mahkeme')",799
"('uygun', 'hüküm', 'onanma')",794
