Words,Frequency
"('karar',)",56637
"('hüküm',)",39852
"('madde',)",39660
"('temyiz',)",36369
"('mahkeme',)",24502
"('tarih',)",23145
"('dava',)",21909
"('kanun',)",20943
"('suç',)",20894
"('dosya',)",20334
"('ceza',)",17130
"('taraf',)",15524
"('veril',)",14946
"('olduk',)",14500
"('hak',)",13866
"('vekil',)",12609
"('verilen',)",11406
"('esas',)",11071
"('sonuç',)",9384
"('süre',)",9078
"('redd',)",9072
"('itiraz',)",8961
"('bozma',)",8938
"('kabul',)",8432
"('uygun',)",8427
"('yasa',)",7714
"('hukuk',)",7638
"('daire',)",7559
"('düşünül',)",7316
"('bölge',)",7283
"('hal',)",7248
"('adliye',)",7176
"('iş',)",7175
"('inceleme',)",7079
"('mahkumiyet',)",6844
"('gerekçe',)",6679
"('tarihli',)",6498
"('talep',)",6422
"('yön',)",6400
"('verilme',)",6026
"('üzeri',)",5975
"('başvuru',)",5969
"('mahkemesi',)",5932
"('istem',)",5840
"('konu',)",5762
"('tl',)",5729
"('şekil',)",5693
"('birlik',)",5644
"('onanma',)",5362
"('sebep',)",5025
"('harç',)",5001
"('delil',)",4981
"('cmk',)",4956
"('tck',)",4955
"('5271',)",4920
"('yürürlük',)",4873
"('belge',)",4781
"('bozulma',)",4744
"('ret',)",4718
"('oybirliği',)",4623
"('kapsam',)",4584
"('edilmek',)",4460
"('olma',)",4405
"('nitelik',)",4396
"('uygulanma',)",4234
"('iptal',)",4206
"('bulunan',)",4173
"('rapor',)",4138
"('ücret',)",4104
"('duruşma',)",4059
"('istinaf',)",4035
"('eylem',)",4027
"('5237',)",4007
"('tespit',)",3968
"('edil',)",3882
"('suret',)",3705
"('istek',)",3683
"('anayasa',)",3674
"('dilekçe',)",3601
"('incelenme',)",3521
"('takdir',)",3519
"('ilam',)",3417
"('düzenleme',)",3334
"('gerektik',)",3222
"('basit',)",3162
"('kovuşturma',)",3160
"('müdafii',)",3126
"('alan',)",3122
"('içerik',)",3118
"('para',)",3087
"('tazminat',)",3084
"('görüşülüp',)",3068
"('sözleşme',)",3037
"('yol',)",3021
"('iç',)",3004
"('çocuk',)",3003
"('olay',)",3000
"('verildik',)",2972
"('ad',)",2940
"('itibar',)",2934
