Trigram,chi-sq
"('3573', 'zeytinciliğin', 'yabanilerinin')",1335684077684.4802
"('l2', 'l3', 'trafosunun')",1335684077684.4802
"('morbeyin', 'uygulamalarca', 'yönlendirildiği')",1335684077684.4802
"('milliyetçiliğini', 'türkçülüğü', 'sayan')",1335684077684.4802
"('milletinin', 'ezeli', 'ebedi')",1335684077684.4802
"('maliyetine', 'gerçeklerden', 'temenniden')",1335684077684.4802
"('maksillada', 'anterior', 'fraktürlere')",1335684077684.4802
"('mahallelere', 'hendekler', 'kazarak')",1335684077684.4802
"('maddesi̇', 'uyarinca', 'mükerri̇rlere')",1335684077684.4802
"('lobral', 'patolojileri', 'göstermede')",1335684077684.4802
"('lamine', 'mrbl', '2400')",1335684077684.4802
"('lady', 'aziza', 'gemisi')",1335684077684.4802
"('kürtlerin', 'çizgisidir', 'kobane')",1335684077684.4802
"('abonenin', 'l2', 'l3')",1335684077684.4802
"('kötülenmesi', 'müşterilerini', 'kapmaya')",1335684077684.4802
"('kuruçaydan', 'gelecem', 'yeşilovada')",1335684077684.4802
"('korpu', 'çökme', 'sakrum')",1335684077684.4802
"('korkuluğuna', 'tutunup', 'gitmemek')",1335684077684.4802
"('korkuluklardaki', 'sunni', 'çim')",1335684077684.4802
"('konforunun', 'bekçili', 'bariyerli')",1335684077684.4802
"('kocanla', 'yiyeceksin', 'gözün')",1335684077684.4802
"('klimma', 'ünite', 'motorunun')",1335684077684.4802
"('kanununiyeye', 'müktesepleri', 'ecnebi')",1335684077684.4802
"('kalkinmiş', 'manşeti', 'haberde')",1335684077684.4802
"('mrbl', '2400', 'vario')",1335684077684.4802
"('muzafer', 'yel', 'mecidin')",1335684077684.4802
"('müşterilerini', 'kapmaya', 'dürüstlüğe')",1335684077684.4802
"('nadide', 'güzellik', 'ölçütlerine')",1335684077684.4802
"('türüdü', 'aygül', 'özmen')",1335684077684.4802
"('sürgülü', 'nemlendirme', 'kumanda')",1335684077684.4802
"('sürdüreceğim', 'olduğumu', 'bilmiyorsunuz')",1335684077684.4802
"('sorumlusundan', 'bayileri', 'dolaşarak')",1335684077684.4802
"('sinirler', 'ekstraoküler', 'kaslar')",1335684077684.4802
"('sinirlendiği', 'dilini', 'keser')",1335684077684.4802
"('seda', 'türüdü', 'aygül')",1335684077684.4802
"('sağlayamayan', 'acizliğini', 'örtbas')",1335684077684.4802
"('rüya', 'ritüeller', 'dualarla')",1335684077684.4802
"('rezonans', 'görüntülemenin', 'lobral')",1335684077684.4802
