Trigram,likelihood_ratio
"('bölge', 'adliye', 'mahkemesi')",117780.52592762279
"('bölge', 'adliye', 'mahkemesince')",85405.32132962334
"('bölge', 'adliye', 'hukuk')",81970.60021565328
"('örneğinin', 'bölge', 'adliye')",80637.37408020494
"('karar', 'bölge', 'adliye')",80607.30382493915
"('bölge', 'adliye', 'mahkemesine')",80079.70517541635
"('olunan', 'bölge', 'adliye')",80003.80867750969
"('ankara', 'bölge', 'adliye')",79782.30567201588
"('i̇stanbul', 'bölge', 'adliye')",79419.5300973775
"('gaziantep', 'bölge', 'adliye')",79417.96275240982
"('bölge', 'adliye', 'mahkemelerinin')",79311.29952848694
"('başvurusu', 'bölge', 'adliye')",79244.06517874764
"('veren', 'bölge', 'adliye')",79120.10308125934
"('başvurusunda', 'bölge', 'adliye')",79059.40893304445
"('bölge', 'adliye', 'mahkemesinin')",79018.38976830487
"('samsun', 'bölge', 'adliye')",78905.01576816435
"('i̇zmir', 'bölge', 'adliye')",78882.09109968407
"('reddi', 'bölge', 'adliye')",78875.18429536592
"('muhakemesi', 'bölge', 'adliye')",78719.23496507716
"('hukuk', 'bölge', 'adliye')",78712.54092134134
"('adana', 'bölge', 'adliye')",78654.19303974857
"('antalya', 'bölge', 'adliye')",78643.05170711582
"('reddeden', 'bölge', 'adliye')",78557.88841949435
"('uygun', 'bölge', 'adliye')",78435.12386846253
"('yoluna', 'bölge', 'adliye')",78352.77301167222
"('tarih', 'bölge', 'adliye')",78310.34923180197
"('konya', 'bölge', 'adliye')",78264.20248270745
"('bölge', 'adliye', 'mahkemeleri')",78245.88729780223
"('başvurusunun', 'bölge', 'adliye')",78238.4611307708
"('sakarya', 'bölge', 'adliye')",78222.99653308713
"('bölge', 'adliye', 'temyiz')",78184.97539803621
"('erzurum', 'bölge', 'adliye')",78181.3803273548
"('bölge', 'adliye', 'karar')",78144.62147855238
"('bursa', 'bölge', 'adliye')",78103.13280421088
"('mahkemesi', 'bölge', 'adliye')",78100.34312079274
"('verilmiş', 'bölge', 'adliye')",78016.28624207879
"('reddine', 'bölge', 'adliye')",78009.70730341706
"('özeti', 'bölge', 'adliye')",77999.68413557348
"('temyiz', 'bölge', 'adliye')",77995.4186113389
"('gerekçelerle', 'bölge', 'adliye')",77948.78311559875
"('gazi̇antep', 'bölge', 'adliye')",77944.43099447
"('süresinin', 'bölge', 'adliye')",77942.22470570289
"('bölge', 'adliye', 'hüküm')",77924.6649415203
"('dosya', 'bölge', 'adliye')",77918.56844176007
"('hükmün', 'bölge', 'adliye')",77904.8552414007
"('davalara', 'bölge', 'adliye')",77903.25160655518
"('istinaf', 'bölge', 'adliye')",77901.2928073549
"('ceza', 'bölge', 'adliye')",77899.99241172559
"('mahkemeleri', 'bölge', 'adliye')",77888.91420967299
"('istemleri', 'bölge', 'adliye')",77886.5790650346
"('bölge', 'adliye', 'ceza')",77884.7831590854
"('geçici', 'bölge', 'adliye')",77883.86951565185
"('bölge', 'adliye', 'tarihinde')",77883.80852138062
"('bölge', 'adliye', 'dosya')",77880.46501406013
"('bölge', 'adliye', 'i̇lk')",77878.81056074539
"('bölge', 'adliye', 'dava')",77874.90465862177
"('bölge', 'adliye', 'tarihli')",77874.85344763941
"('bölge', 'adliye', 'verilen')",77872.43056571297
"('bölge', 'adliye', 'bölge')",77863.33493985397
"('bölge', 'bölge', 'adliye')",77863.33493985397
"('davadan', 'bölge', 'adliye')",77862.40381171707
"('bölge', 'adliye', 'bozma')",77862.12284024271
"('suç', 'bölge', 'adliye')",77862.00319416603
"('geçmediği', 'bölge', 'adliye')",77858.02670463253
"('nisbetlerin', 'bölge', 'adliye')",77856.68682793925
"('i̇zmi̇r', 'bölge', 'adliye')",77856.68385909709
"('bölge', 'adliye', '5271')",77852.55574268331
"('tarihli', 'bölge', 'adliye')",77851.49862875805
"('talebinde', 'bölge', 'adliye')",77850.83306934751
"('bölge', 'adliye', 'mahkemelerince')",77848.48172814485
"('ilgisine', 'bölge', 'adliye')",77848.33604090217
"('karardan', 'bölge', 'adliye')",77846.44997540553
"('verilen', 'bölge', 'adliye')",77845.5807215871
"('bölge', 'adliye', 'esas')",77845.17251055293
"('bölge', 'adliye', 'reddine')",77844.34324302035
"('edilmeli', 'bölge', 'adliye')",77843.72303535591
"('bölge', 'adliye', 'süresi')",77842.18337450178
"('ilişin', 'bölge', 'adliye')",77841.38334224545
