Trigram,poisson_stirling
"('bölge', 'adliye', 'mahkemesi')",56895.77056215931
"('tarihinde', 'birliğiyle', 'karar')",28725.895850999314
"('suça', 'sürüklenen', 'çocuk')",22694.08714660631
"('reddi', 'nedenleri', 'işin')",21541.96940762827
"('oluştuğu', 'duruşma', 'sürecini')",20765.833323071336
"('belgeler', 'gerekçe', 'içeriğine')",20601.574965500313
"('suç', 'tarihine', 'dosya')",20574.835896285316
"('vicdani', 'oluştuğu', 'duruşma')",20213.099393782748
"('resmi', 'yürürlüğe', 'giren')",19909.892982216938
"('işin', 'vicdani', 'oluştuğu')",19665.844253486262
"('niteliği', 'suç', 'tarihine')",19535.587767743556
"('verilen', 'hüküm', 'temyiz')",19133.124972009547
"('sürecini', 'belgeler', 'gerekçe')",18745.706938120617
"('nedenleri', 'işin', 'vicdani')",18657.389049804002
"('yerel', 'mahkemece', 'verilen')",18120.354911720253
"('duruşma', 'sürecini', 'belgeler')",18040.98715664161
"('tetkik', 'hakimi', 'düzenlenen')",18002.92830694938
"('isteğinin', 'reddi', 'nedenleri')",17846.239221712793
"('birliğiyle', 'karar', 'hüküm')",17606.164572219557
"('düzenlenen', 'rapor', 'dinlendikten')",17326.628329697283
"('hakimi', 'düzenlenen', 'rapor')",17326.081628668966
"('gününde', 'oybirliğiyle', 'karar')",16410.36928284228
"('mahkemece', 'verilen', 'hüküm')",16137.805179067416
"('rapor', 'dinlendikten', 'dosya')",15281.869985079886
"('başvurunun', 'süresi', 'niteliği')",15015.532386058794
"('mahalli', 'mahkemece', 'verilen')",14786.207624961853
"('dava', 'tetkik', 'hakimi')",14720.468444901702
"('adliye', 'mahkemesi', 'hukuk')",14704.317540827718
"('karar', 'hüküm', 'mahkumiyet')",14240.233714672604
"('süresi', 'niteliği', 'suç')",13811.48877310608
"('temyiz', 'isteğinin', 'reddi')",13803.27283967851
"('yürürlükte', 'bulunan', '1412')",13471.596159656054
"('adliye', 'mahkemesi', 'ceza')",13227.202301589487
"('görülen', 'dava', 'sonucunda')",12922.401933825766
"('tarihinde', 'oybirliğiyle', 'karar')",12918.642431047589
"('bölge', 'adliye', 'mahkemesince')",12666.7761245091
"('taraflar', 'görülen', 'dava')",12299.841174768331
"('tarihinde', 'oybirliği', 'karar')",11935.30738597989
"('temyiz', 'itibarla', 'görülmüş')",11768.265560119798
"('mahkemece', 'verilen', 'hükümler')",11681.674739810009
"('verilen', 'hükümler', 'temyiz')",11672.783052914616
"('karar', 'taraflar', 'görülen')",11604.316368774362
"('aşamalarda', 'sürülen', 'iddia')",11384.957752605414
"('hüküm', 'temyiz', 'başvurunun')",11375.459809550139
"('5607', 'maddesine', 'eklenen')",11202.140634653806
"('5320', 'maddesi', 'yürürlükte')",11135.041175616472
"('reddiyle', 'kanuna', 'uygun')",11100.21990752018
"('temyiz', 'başvurunun', 'süresi')",11078.545809162437
"('gününde', 'birliğiyle', 'karar')",11077.933982913135
"('tarihli', 'resmi', 'yürürlüğe')",10894.156060060779
"('delillerin', 'takdirinde', 'isabetsizlik')",10715.098772183865
"('tarihinde', 'birliği', 'karar')",10617.94664952163
"('dinlendikten', 'dosya', 'konuşulup')",10599.48495918386
"('mahkumiyet', 'mahalli', 'mahkemece')",10578.610833559242
"('itibarla', 'görülmüş', 'olduğundan')",10537.06703679622
"('dava', 'sonucunda', 'verilen')",10470.035139650674
"('aşamadan', 'başlayarak', 'sürdürülüp')",10286.041821247114
"('istinaf', 'başvurusunun', 'esastan')",10274.731073168601
"('bozma', 'öncesi', 'aşamadan')",10214.202285304927
"('tarihinde', 'yürürlüğe', 'giren')",10187.557924955972
"('öncesi', 'aşamadan', 'başlayarak')",10096.237246472645
"('oybirliğiyle', 'karar', 'taraflar')",10085.16511221979
"('maddesi', 'yürürlükte', 'bulunan')",9813.330179070106
"('mahkumiyet', 'yerel', 'mahkemece')",9684.43799695787
"('kesinleşmiş', 'dosyalarda', 'muhakeme')",9596.76756029757
"('verilen', 'temyizen', 'incelenmesi')",9570.442505060171
"('denetimini', 'sağlayacak', 'biçimde')",9564.038796517983
"('başlayarak', 'sürdürülüp', 'mahkemesine')",9496.828644008032
"('biçimde', 'eksiksiz', 'özleri')",9468.706830584135
"('eklenen', 'geçici', 'maddenin')",9442.609526272528
"('sağlayacak', 'biçimde', 'eksiksiz')",9426.745792418158
"('sonucunda', 'verilen', 'temyizen')",9356.801222978464
"('süresinde', 'dava', 'tetkik')",9179.228184045425
"('hükme', 'kesinleşmiş', 'dosyalarda')",9018.610716378671
"('vicdani', 'çelişmeyen', 'verilere')",8971.822200134957
"('dosyalarda', 'muhakeme', 'usulü')",8930.745925187886
"('oybirliğiyle', 'karar', 'hüküm')",8879.590205355893
"('bulunan', '1412', 'maddesi')",8867.074785210229
"('sürdürülüp', 'mahkemesine', 'tarihinde')",8853.042312003907
"('okunduktan', 'türk', 'milleti')",8776.745273275163
"('edilmekle', 'evrak', 'görüşülüp')",8689.018241669946
"('davasinin', 'esastan', 'reddi̇yle')",8593.454223786419
"('evresine', 'hükme', 'kesinleşmiş')",8472.809113075293
"('temyizen', 'incelenmesi', 'vekili')",8373.666420135367
"('temyi̇z', 'davasinin', 'esastan')",8351.015710225713
"('muhakeme', 'usulü', 'basit')",8228.080553665532
"('nitelendirildiği', 'kanunda', 'öngörülen')",8049.529986513035
"('maddesi', 'gereken', '1412')",7973.970116065587
"('türk', 'milleti', 'görüşülüp')",7923.512763424339
"('eksiksiz', 'özleri', 'değiştirilmeksizin')",7866.430261687663
"('adliye', 'mahkemesince', 'verilen')",7865.531699578391
"('dosya', 'temyiz', 'isteğinin')",7823.722542521412
"('mala', 'zarar', 'verme')",7773.039855684012
"('kovuşturma', 'evresine', 'hükme')",7690.174687311609
"('5320', 'maddesi', 'gereken')",7619.037380561664
"('tarihi', 'kovuşturma', 'evresine')",7603.777639683009
"('hüküm', 'temyiz', 'edilmekle')",7535.933502462709
"('gereken', '1412', 'maddesi')",7503.250253011628
"('etkin', 'hale', 'geldiği')",7422.544586430782
"('temyiz', 'reddiyle', 'kanuna')",7357.346477216188
