Words,Frequency
"('bölge', 'adliye')",6667
"('adliye', 'mahkemesi')",4372
"('maddesi', 'gereğince')",4287
"('maddesi', 'ile')",4109
"('oy', 'birliğiyle')",3755
"('birliğiyle', 'karar')",3755
"('tarihinde', 'oy')",3704
"('karar', 'hüküm')",3582
"('usul', 've')",3170
"('ile', 'karar')",3074
"('oybirliğiyle', 'karar')",2977
"('mahkemece', 'verilen')",2794
"('tarih', 've')",2685
"('kanuna', 'uygun')",2562
"('hüküm', 'temyiz')",2541
"('yürürlüğe', 'giren')",2518
"('gereği', 'görüşülüp')",2484
"('uygun', 'olarak')",2422
"('ve', 'karar')",2393
"('verilen', 'hüküm')",2360
"('dosya', 'gereği')",2327
"('kanunun', 'maddesi')",2222
"('yer', 'alan')",2200
"('suça', 'sürüklenen')",2189
"('gün', 've')",2145
"('temyiz', 'bu')",2103
"('reddine', 'karar')",2099
"('bu', 'itibarla')",2092
"('1412', 'maddesi')",2078
"('yerel', 'mahkemece')",2050
"('itibarla', 'yerinde')",1976
"('i̇lk', 'derece')",1975
"('tarihli', 've')",1967
"('karar', 'taraflar')",1948
"('karar', 'verilmesi')",1940
"('vekili', 'temyiz')",1917
"('vekilinin', 'temyiz')",1916
"('yerinde', 'görülmüş')",1911
"('yerinde', 'görülmeyen')",1904
"('göre', 'dosya')",1903
"('ve', 'temyiz')",1894
"('suç', 'tarihine')",1831
"('ve', 'kanuna')",1797
"('bir', 'isabetsizlik')",1776
"('temyiz', 'isteğinin')",1761
"('temyiz', 'başvurunun')",1759
"('5320', 'maddesi')",1751
"('tarihine', 'göre')",1677
"('oybirliği', 'ile')",1638
"('karar', 'düzeltme')",1632
"('adli', 'para')",1597
"('hüküm', 'mahkumiyet')",1568
"('incelenerek', 'gereği')",1558
"('temyiz', 'yerinde')",1527
"('yürürlükte', 'bulunan')",1518
"('sürüklenen', 'çocuk')",1511
"('ve', 'bu')",1492
"('içeriğine', 'göre')",1473
"('uygun', 'olan')",1469
"('süresi', 've')",1453
"('temyiz', 'edilmekle')",1451
"('gününde', 'oybirliğiyle')",1403
"('reddi', 'nedenleri')",1396
"('taraflar', 'görülen')",1390
"('istinaf', 'başvurusunun')",1389
"('nedenleri', 'işin')",1385
"('müdafiinin', 'temyiz')",1371
"('ilk', 'derece')",1361
"('5271', 'maddesi')",1360
"('temyiz', 'talebinin')",1337
"('temyiz', 'reddiyle')",1314
"('kabulüne', 'karar')",1300
"('tarihinde', 'oybirliğiyle')",1300
"('tebliğnameye', 'uygun')",1299
"('gerekçe', 'içeriğine')",1297
"('ve', 'yasaya')",1296
"('karar', 'yerinde')",1287
"('ve', 'gerekçe')",1283
"('hükümler', 'temyiz')",1273
"('sonucuna', 'göre')",1258
"('tetkik', 'hakimi')",1255
"('verilen', 'hükümler')",1252
"('mahkemesi', 'hukuk')",1251
"('mahkemesi', 'ceza')",1249
"('süresi', 'içinde')",1241
"('dosya', 'incelenerek')",1237
"('resmi', 'yürürlüğe')",1234
"('bu', 'nedenle')",1234
"('belgeler', 've')",1231
"('süresinde', 'olduğu')",1222
"('mahalli', 'mahkemece')",1217
"('duruşma', 'sürecini')",1209
"('isteğinin', 'reddi')",1198
"('temyiz', 'isteminin')",1197
"('vicdani', 'oluştuğu')",1195
"('oluştuğu', 'duruşma')",1194
"('dava', 'konusu')",1178
"('işin', 'vicdani')",1157
"('suçundan', 'kurulan')",1150
"('yönelik', 'temyiz')",1137
