Words,Frequency
"('bölge', 'adliye')",6667
"('adliye', 'mahkemesi')",4376
"('birliğiyle', 'karar')",3755
"('karar', 'hüküm')",3601
"('oybirliğiyle', 'karar')",2980
"('mahkemece', 'verilen')",2811
"('tarihinde', 'birliğiyle')",2711
"('hüküm', 'temyiz')",2567
"('kanuna', 'uygun')",2562
"('yürürlüğe', 'giren')",2518
"('verilen', 'hüküm')",2364
"('kanunun', 'maddesi')",2227
"('reddine', 'karar')",2200
"('suça', 'sürüklenen')",2189
"('vekilinin', 'temyiz')",2140
"('1412', 'maddesi')",2085
"('yerel', 'mahkemece')",2050
"('vekili', 'temyiz')",1990
"('karar', 'taraflar')",1954
"('karar', 'verilmesi')",1940
"('suç', 'tarihine')",1831
"('temyiz', 'isteğinin')",1761
"('temyiz', 'başvurunun')",1759
"('5320', 'maddesi')",1751
"('oybirliği', 'karar')",1636
"('karar', 'düzeltme')",1632
"('görülmeyen', 'temyiz')",1629
"('tarihine', 'dosya')",1628
"('adli', 'para')",1597
"('hüküm', 'mahkumiyet')",1571
"('temyiz', 'reddiyle')",1538
"('yürürlükte', 'bulunan')",1518
"('sürüklenen', 'çocuk')",1511
"('temyiz', 'edilmekle')",1451
"('gününde', 'oybirliğiyle')",1409
"('reddi', 'nedenleri')",1396
"('taraflar', 'görülen')",1390
"('istinaf', 'başvurusunun')",1389
"('nedenleri', 'işin')",1385
"('itibarla', 'görülmüş')",1384
"('müdafiinin', 'temyiz')",1382
"('5271', 'maddesi')",1362
"('esas', 'karar')",1349
"('temyiz', 'talebinin')",1338
"('resmi', 'yürürlüğe')",1320
"('niteliği', 'suç')",1319
"('kabulüne', 'karar')",1315
"('tarihinde', 'oybirliğiyle')",1308
"('temyiz', 'itibarla')",1303
"('tebliğnameye', 'uygun')",1299
"('gerekçe', 'içeriğine')",1297
"('hükümler', 'temyiz')",1276
"('tetkik', 'hakimi')",1255
"('mahkemesi', 'hukuk')",1255
"('verilen', 'hükümler')",1253
"('mahkemesi', 'ceza')",1250
"('dosya', 'incelenerek')",1237
"('belgeler', 'gerekçe')",1236
"('temyiz', 'temyiz')",1227
"('mahalli', 'mahkemece')",1217
"('duruşma', 'sürecini')",1209
"('isteğinin', 'reddi')",1198
"('temyiz', 'isteminin')",1197
"('vicdani', 'oluştuğu')",1195
"('oluştuğu', 'duruşma')",1194
"('dava', 'konusu')",1181
"('işin', 'vicdani')",1157
"('suçundan', 'kurulan')",1151
"('uygun', 'hükmün')",1148
"('basit', 'usulü')",1137
"('tarihinde', 'oybirliği')",1133
"('düzenlenen', 'rapor')",1124
"('ceza', 'mahkemesinin')",1118
"('birliği', 'karar')",1116
"('sürecini', 'belgeler')",1097
"('hakimi', 'düzenlenen')",1073
"('esastan', 'reddine')",1072
"('dosya', 'temyiz')",1067
"('karar', 'hükümler')",1067
"('5237', 'maddesi')",1064
"('anayasa', 'mahkemesinin')",1056
"('yasaya', 'uygun')",1044
"('gününde', 'birliğiyle')",1021
"('rapor', 'dinlendikten')",1020
"('dinlendikten', 'dosya')",1020
"('dava', 'tetkik')",1017
"('mahkemesince', 'verilen')",1014
"('eklenen', 'geçici')",1012
"('adliye', 'mahkemesince')",1003
"('başvurunun', 'süresi')",994
"('süresi', 'niteliği')",992
"('tarihinde', 'birliği')",984
"('tarihli', 'resmi')",978
"('temyiz', 'nedenleri')",950
"('hükmün', 'tarihinde')",935
"('maddesi', 'yürürlükte')",926
"('sonucunda', 'verilen')",911
"('bulunan', '1412')",908
"('dava', 'sonucunda')",894
"('görülen', 'dava')",888
