Words,Frequency
"('bölge', 'adliye', 'mahkemesi')",4338
"('tarihinde', 'birliğiyle', 'karar')",2711
"('verilen', 'hüküm', 'temyiz')",2263
"('birliğiyle', 'karar', 'hüküm')",1786
"('suç', 'tarihine', 'dosya')",1628
"('mahkemece', 'verilen', 'hüküm')",1555
"('karar', 'hüküm', 'mahkumiyet')",1518
"('yerel', 'mahkemece', 'verilen')",1466
"('gününde', 'oybirliğiyle', 'karar')",1409
"('suça', 'sürüklenen', 'çocuk')",1395
"('reddi', 'nedenleri', 'işin')",1385
"('niteliği', 'suç', 'tarihine')",1315
"('tarihinde', 'oybirliğiyle', 'karar')",1308
"('resmi', 'yürürlüğe', 'giren')",1295
"('adliye', 'mahkemesi', 'hukuk')",1253
"('belgeler', 'gerekçe', 'içeriğine')",1236
"('verilen', 'hükümler', 'temyiz')",1233
"('adliye', 'mahkemesi', 'ceza')",1216
"('vicdani', 'oluştuğu', 'duruşma')",1194
"('oluştuğu', 'duruşma', 'sürecini')",1194
"('temyiz', 'isteğinin', 'reddi')",1170
"('hüküm', 'temyiz', 'başvurunun')",1166
"('nedenleri', 'işin', 'vicdani')",1156
"('işin', 'vicdani', 'oluştuğu')",1154
"('isteğinin', 'reddi', 'nedenleri')",1149
"('mahalli', 'mahkemece', 'verilen')",1135
"('tarihinde', 'oybirliği', 'karar')",1133
"('sürecini', 'belgeler', 'gerekçe')",1097
"('duruşma', 'sürecini', 'belgeler')",1096
"('tetkik', 'hakimi', 'düzenlenen')",1073
"('hakimi', 'düzenlenen', 'rapor')",1034
"('gününde', 'birliğiyle', 'karar')",1021
"('düzenlenen', 'rapor', 'dinlendikten')",1020
"('rapor', 'dinlendikten', 'dosya')",1020
"('mahkemece', 'verilen', 'hükümler')",1004
"('bölge', 'adliye', 'mahkemesince')",998
"('temyiz', 'başvurunun', 'süresi')",990
"('süresi', 'niteliği', 'suç')",989
"('tarihinde', 'birliği', 'karar')",984
"('başvurunun', 'süresi', 'niteliği')",984
"('dava', 'tetkik', 'hakimi')",969
"('temyiz', 'itibarla', 'görülmüş')",964
"('karar', 'taraflar', 'görülen')",960
"('oybirliğiyle', 'karar', 'hüküm')",956
"('oybirliğiyle', 'karar', 'taraflar')",906
"('yürürlükte', 'bulunan', '1412')",905
"('5320', 'maddesi', 'yürürlükte')",887
"('taraflar', 'görülen', 'dava')",884
"('görülen', 'dava', 'sonucunda')",883
"('dava', 'sonucunda', 'verilen')",883
"('reddiyle', 'kanuna', 'uygun')",847
"('dosya', 'temyiz', 'isteğinin')",832
"('maddesi', 'yürürlükte', 'bulunan')",821
"('tarihli', 'resmi', 'yürürlüğe')",803
"('tarihinde', 'yürürlüğe', 'giren')",800
"('bulunan', '1412', 'maddesi')",783
"('mahkumiyet', 'mahalli', 'mahkemece')",767
"('hüküm', 'temyiz', 'edilmekle')",767
"('mahkumiyet', 'yerel', 'mahkemece')",760
"('tarihine', 'dosya', 'temyiz')",736
"('temyiz', 'edilmekle', 'dosya')",727
"('5607', 'maddesine', 'eklenen')",716
"('dinlendikten', 'dosya', 'konuşulup')",696
"('7242', 'maddesi', '5607')",692
"('istinaf', 'başvurusunun', 'esastan')",691
"('adliye', 'mahkemesince', 'verilen')",684
"('temyiz', 'reddiyle', 'kanuna')",684
"('birliğiyle', 'karar', 'hükümler')",671
"('itibarla', 'görülmüş', 'olduğundan')",665
"('maddesi', 'gereken', '1412')",662
"('karar', 'hükümler', 'mahkumiyet')",660
"('verilen', 'temyizen', 'incelenmesi')",647
"('sonucunda', 'verilen', 'temyizen')",645
"('süresinde', 'dava', 'tetkik')",645
"('5320', 'maddesi', 'gereken')",638
"('kanuna', 'uygun', 'hükmün')",637
"('gereken', '1412', 'maddesi')",627
"('hükümler', 'temyiz', 'edilmekle')",616
"('aşamalarda', 'sürülen', 'iddia')",615
"('delillerin', 'takdirinde', 'isabetsizlik')",612
"('bozma', 'öncesi', 'aşamadan')",591
"('eklenen', 'geçici', 'maddenin')",587
"('hükümler', 'temyiz', 'başvurunun')",585
"('sürdürülüp', 'mahkemesine', 'tarihinde')",574
"('isabetsizlik', 'görülmeyen', 'temyiz')",555
"('reddi', 'kanuna', 'uygun')",546
"('temyiz', 'reddi', 'kanuna')",545
"('temyiz', 'talebinin', 'süresinde')",534
"('temyizen', 'incelenmesi', 'vekili')",530
"('mahkemesi', 'hukuk', 'dairesince')",529
"('temyiz', 'edilmekle', 'evrak')",528
"('edilmekle', 'evrak', 'görüşülüp')",526
"('talebinin', 'süresinde', 'dava')",519
"('vekili', 'temyiz', 'talebinin')",514
"('esastan', 'reddine', 'karar')",513
"('yürürlüğe', 'giren', 'tarih')",511
"('mahkumiyet', 'dosya', 'incelenerek')",508
"('görülmeyen', 'temyiz', 'reddiyle')",503
"('incelenmesi', 'vekili', 'temyiz')",498
"('öncesi', 'aşamadan', 'başlayarak')",498
