Words,Frequency
"('ve',)",68756
"('temyiz',)",33609
"('karar',)",29829
"('ile',)",29712
"('maddesi',)",18884
"('bu',)",16211
"('bir',)",13259
"('olarak',)",12211
"('hüküm',)",11476
"('dosya',)",11461
"('göre',)",11349
"('verilen',)",11168
"('yerinde',)",10664
"('hükmün',)",10494
"('tarihinde',)",10443
"('ceza',)",9426
"('gereği',)",8212
"('uygun',)",8169
"('ilişkin',)",7753
"('dava',)",7747
"('bölge',)",7128
"('mahkemesi',)",6793
"('olan',)",6771
"('adliye',)",6741
"('gereğince',)",6381
"('mahkemece',)",6089
"('sonra',)",6081
"('tarihli',)",6067
"('için',)",5781
"('suç',)",5757
"('olduğu',)",5598
"('yer',)",5365
"('hukuk',)",5360
"('bozma',)",5254
"('ise',)",5081
"('oy',)",4994
"('veya',)",4767
"('vekili',)",4551
"('kanunun',)",4474
"('5271',)",4466
"('mahkumiyet',)",4442
"('de',)",4361
"('da',)",4207
"('vekilinin',)",4074
"('şekilde',)",4026
"('tl',)",4011
"('gün',)",3996
"('bulunan',)",3961
"('esas',)",3854
"('reddine',)",3785
"('maddesinin',)",3780
"('birliğiyle',)",3755
"('mahkemesinin',)",3749
"('yönelik',)",3732
"('suçundan',)",3722
"('süresi',)",3605
"('derece',)",3575
"('yönünden',)",3573
"('kanuna',)",3522
"('istinaf',)",3520
"('5237',)",3512
"('usul',)",3380
"('dair',)",3373
"('nedeniyle',)",3321
"('maddesinde',)",3320
"('gününde',)",3298
"('üzerine',)",3267
"('ilgili',)",3211
"('yeniden',)",3178
"('tarih',)",3141
"('halinde',)",3115
"('hükümler',)",3100
"('reddi',)",3066
"('taraflar',)",3031
"('maddeleri',)",2995
"('oybirliğiyle',)",2983
"('tüm',)",2912
"('suça',)",2905
"('kabul',)",2901
"('görüşülüp',)",2887
"('düzenlenen',)",2856
"('duruşma',)",2829
"('5320',)",2822
"('suretiyle',)",2818
"('giren',)",2795
"('maddesine',)",2782
"('yerel',)",2738
"('1412',)",2726
"('resmi',)",2712
"('yürürlüğe',)",2686
"('esastan',)",2653
"('edilen',)",2638
"('konusu',)",2634
"('diğer',)",2624
"('değişik',)",2605
"('inceleme',)",2592
"('tarihine',)",2585
"('üzere',)",2582
"('içinde',)",2575
"('kadar',)",2569
