Words,Frequency
"('temyiz',)",33609
"('karar',)",29829
"('maddesi',)",18884
"('hüküm',)",11476
"('dosya',)",11461
"('verilen',)",11168
"('hükmün',)",10494
"('tarihinde',)",10443
"('ceza',)",9426
"('uygun',)",8169
"('dava',)",7747
"('bölge',)",7128
"('mahkemesi',)",6793
"('adliye',)",6741
"('mahkemece',)",6089
"('tarihli',)",6067
"('suç',)",5757
"('hukuk',)",5360
"('bozma',)",5254
"('vekili',)",4551
"('kanunun',)",4474
"('5271',)",4466
"('mahkumiyet',)",4442
"('vekilinin',)",4074
"('tl',)",4011
"('bulunan',)",3961
"('esas',)",3854
"('reddine',)",3785
"('maddesinin',)",3780
"('birliğiyle',)",3755
"('mahkemesinin',)",3749
"('suçundan',)",3722
"('süresi',)",3605
"('yönünden',)",3573
"('kanuna',)",3522
"('istinaf',)",3520
"('5237',)",3512
"('maddesinde',)",3320
"('gününde',)",3298
"('tarih',)",3141
"('halinde',)",3115
"('hükümler',)",3100
"('reddi',)",3066
"('taraflar',)",3031
"('maddeleri',)",2995
"('oybirliğiyle',)",2983
"('suça',)",2905
"('kabul',)",2901
"('görüşülüp',)",2887
"('düzenlenen',)",2856
"('duruşma',)",2829
"('5320',)",2822
"('suretiyle',)",2818
"('giren',)",2795
"('maddesine',)",2782
"('yerel',)",2738
"('1412',)",2726
"('resmi',)",2712
"('yürürlüğe',)",2686
"('esastan',)",2653
"('edilen',)",2638
"('konusu',)",2634
"('değişik',)",2605
"('inceleme',)",2592
"('tarihine',)",2585
"('verilmesi',)",2562
"('para',)",2553
"('işin',)",2529
"('hapis',)",2516
"('nedenleri',)",2480
"('iş',)",2443
"('tarihi',)",2400
"('adli',)",2399
"('yasaya',)",2378
"('sürüklenen',)",2357
"('kabulüne',)",2351
"('cumhuriyet',)",2348
"('başvurunun',)",2335
"('alan',)",2333
"('geçici',)",2320
"('tespit',)",2319
"('belgeler',)",2319
"('talebinin',)",2295
"('anayasa',)",2275
"('yasal',)",2254
"('reddiyle',)",2231
"('kanun',)",2230
"('kurulan',)",2195
"('usulü',)",2151
"('iptal',)",2134
"('isteğinin',)",2130
"('hükme',)",2126
"('kovuşturma',)",2114
"('itibarla',)",2108
"('mahkemesince',)",2096
"('müdafiinin',)",2075
"('incelenerek',)",2074
"('eklenen',)",2041
"('gereken',)",2032
"('i̇lk',)",2008
